Date,Temp,Humid,Bright,Soil
5/18/2024 0:00,28.3,61.2,55,18
5/18/2024 0:00,28.3,61.2,55,18
5/18/2024 0:00,28.3,61.2,55,18
5/18/2024 0:00,28.3,61.2,55,18
5/18/2024 0:01,28.3,60.8,54,39
5/18/2024 0:01,28.3,60.8,54,39
5/18/2024 0:01,28.3,60.8,54,39
5/18/2024 0:01,28.3,60.8,54,39
5/18/2024 0:02,28.3,61.3,54,36
5/18/2024 0:02,28.3,61.3,54,36
5/18/2024 0:02,28.3,61.3,54,36
5/18/2024 0:02,28.3,61.3,54,36
5/18/2024 0:03,28.3,61.1,56,36
5/18/2024 0:03,28.3,61.1,56,36
5/18/2024 0:03,28.3,61.1,56,36
5/18/2024 0:03,28.3,61.1,56,36
5/18/2024 0:04,28.3,61.2,53,35
5/18/2024 0:04,28.3,61.2,53,35
5/18/2024 0:04,28.3,61.2,53,35
5/18/2024 0:04,28.3,61.2,53,35
5/18/2024 0:05,28.4,62.1,54,35
5/18/2024 0:05,28.4,62.1,54,35
5/18/2024 0:05,28.4,62.1,54,35
5/18/2024 0:05,28.4,62.1,54,35
5/18/2024 0:06,28.4,61.3,55,34
5/18/2024 0:06,28.4,61.3,55,34
5/18/2024 0:06,28.4,61.3,55,34
5/18/2024 0:06,28.4,61.3,55,34
5/18/2024 0:07,28.4,61.3,54,34
5/18/2024 0:07,28.4,61.3,54,34
5/18/2024 0:07,28.4,61.3,54,34
5/18/2024 0:07,28.4,61.3,54,34
5/18/2024 0:08,28.5,61.1,54,35
5/18/2024 0:08,28.5,61.1,54,35
5/18/2024 0:08,28.5,61.1,54,35
5/18/2024 0:08,28.5,61.1,54,35
5/18/2024 0:09,28.5,61.1,54,36
5/18/2024 0:09,28.5,61.1,54,36
5/18/2024 0:09,28.5,61.1,54,36
5/18/2024 0:09,28.5,61.1,54,36
5/18/2024 0:10,28.5,60.9,58,36
5/18/2024 0:10,28.5,60.9,58,36
5/18/2024 0:10,28.5,60.9,58,36
5/18/2024 0:10,28.5,60.9,58,36
5/18/2024 0:11,28.5,60.5,57,37
5/18/2024 0:11,28.5,60.5,57,37
5/18/2024 0:11,28.5,60.5,57,37
5/18/2024 0:11,28.5,60.5,57,37
5/18/2024 0:12,28.5,60.9,53,39
5/18/2024 0:12,28.5,60.9,53,39
5/18/2024 0:12,28.5,60.9,53,39
5/18/2024 0:12,28.5,60.9,53,39
5/18/2024 0:13,28.5,61.8,57,38
5/18/2024 0:13,28.5,61.8,57,38
5/18/2024 0:13,28.5,61.8,57,38
5/18/2024 0:13,28.5,61.8,57,38
5/18/2024 0:14,28.5,61.1,59,37
5/18/2024 0:14,28.5,61.1,59,37
5/18/2024 0:14,28.5,61.1,59,37
5/18/2024 0:14,28.5,61.1,59,37
5/18/2024 0:15,28.5,60.3,51,37
5/18/2024 0:15,28.5,60.3,51,37
5/18/2024 0:15,28.5,60.3,51,37
5/18/2024 0:15,28.5,60.3,51,37
5/18/2024 0:16,28.5,60.1,51,41
5/18/2024 0:16,28.5,60.1,51,41
5/18/2024 0:16,28.5,60.1,51,41
5/18/2024 0:16,28.5,60.1,51,41
5/18/2024 0:17,28.5,59.8,53,39
5/18/2024 0:17,28.5,59.8,53,39
5/18/2024 0:17,28.5,59.8,53,39
5/18/2024 0:17,28.5,59.8,53,39
5/18/2024 0:18,28.5,59.8,54,42
5/18/2024 0:18,28.5,59.8,54,42
5/18/2024 0:18,28.5,59.8,54,42
5/18/2024 0:18,28.5,59.8,54,42
5/18/2024 0:19,28.4,60.4,57,33
5/18/2024 0:19,28.4,60.4,57,33
5/18/2024 0:19,28.4,60.4,57,33
5/18/2024 0:19,28.4,60.4,57,33
5/18/2024 0:20,28.4,60.3,52,26
5/18/2024 0:20,28.4,60.3,52,26
5/18/2024 0:20,28.4,60.3,52,26
5/18/2024 0:20,28.4,60.3,52,26
5/18/2024 0:21,28.4,60.1,51,30
5/18/2024 0:21,28.4,60.1,51,30
5/18/2024 0:21,28.4,60.1,51,30
5/18/2024 0:21,28.4,60.1,51,30
5/18/2024 0:22,28.5,60.3,57,41
5/18/2024 0:22,28.5,60.3,57,41
5/18/2024 0:22,28.5,60.3,57,41
5/18/2024 0:22,28.5,60.3,57,41
5/18/2024 0:23,28.4,60.2,55,40
5/18/2024 0:23,28.4,60.2,55,40
5/18/2024 0:23,28.4,60.2,55,40
5/18/2024 0:23,28.4,60.2,55,40
5/18/2024 0:24,28.4,60.2,53,40
5/18/2024 0:24,28.4,60.2,53,40
5/18/2024 0:24,28.4,60.2,53,40
5/18/2024 0:24,28.4,60.2,53,40
5/18/2024 0:24,28.4,60.3,53,31
5/18/2024 0:25,28.4,60.3,53,31
5/18/2024 0:25,28.4,60.3,53,31
5/18/2024 0:25,28.4,60.3,53,31
5/18/2024 0:25,28.5,60.3,55,40
5/18/2024 0:26,28.5,60.3,55,40
5/18/2024 0:26,28.5,60.3,55,40
5/18/2024 0:26,28.5,60.3,55,40
5/18/2024 0:26,28.5,60.3,56,40
5/18/2024 0:27,28.5,60.3,56,40
5/18/2024 0:27,28.5,60.3,56,40
5/18/2024 0:27,28.5,60.3,56,40
5/18/2024 0:27,28.5,60.5,53,36
5/18/2024 0:28,28.5,60.5,53,36
5/18/2024 0:28,28.5,60.5,53,36
5/18/2024 0:28,28.5,60.5,53,36
5/18/2024 0:28,28.5,60.5,57,32
5/18/2024 0:29,28.5,60.5,57,32
